,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
59,59,0.8288038160469668,2020-11-29 07:24:30.237926,2020-11-29 09:09:16.953770,0 days 01:44:46.715844,0.67,0.62,0.0,0.14967918762617619,22.0,5.0,290.0,0.0,3.0,0.7,COMPLETE
60,60,0.8252893376956948,2020-11-29 07:35:05.272329,2020-11-29 09:07:50.955807,0 days 01:32:45.683478,0.7,0.62,0.0,0.16190810521634053,20.0,5.0,288.0,0.0,3.0,0.7,COMPLETE
61,61,0.8295858304794521,2020-11-29 07:44:44.977697,2020-11-29 09:28:26.323635,0 days 01:43:41.345938,0.7,0.8099999999999999,0.0,0.1484149203157007,19.0,5.0,277.0,0.0,3.0,0.7,COMPLETE
62,62,0.8258760396281801,2020-11-29 08:07:04.930563,2020-11-29 09:27:44.312018,0 days 01:20:39.381455,0.6799999999999999,0.88,0.0,0.030219751606081036,23.0,5.0,107.0,1.0,3.0,0.7,COMPLETE
63,63,0.8245057943982388,2020-11-29 08:18:48.368710,2020-11-29 11:51:14.073745,0 days 03:32:25.705035,0.67,0.77,1.0,0.1530954917600218,19.0,5.0,377.0,1.0,3.0,0.71,COMPLETE
64,64,0.829588123776908,2020-11-29 08:40:44.578635,2020-11-29 13:04:37.699882,0 days 04:23:53.121247,0.69,0.79,0.0,0.032394279653394024,23.0,5.0,379.0,0.0,3.0,0.71,COMPLETE
65,65,0.8274366285469668,2020-11-29 08:47:54.260297,2020-11-29 12:32:03.944027,0 days 03:44:09.683730,0.69,0.61,1.0,0.03270922184106367,23.0,5.0,363.0,0.0,3.0,0.7,COMPLETE
66,66,0.8291978809931507,2020-11-29 08:58:25.381840,2020-11-29 13:00:42.973152,0 days 04:02:17.591312,0.69,0.63,1.0,0.028241380612710042,23.0,5.0,379.0,0.0,3.0,0.7,COMPLETE
67,67,0.8290014218444227,2020-11-29 09:07:52.065224,2020-11-29 13:34:53.965279,0 days 04:27:01.900055,0.85,0.63,1.0,0.03125192002341399,23.0,5.0,384.0,0.0,3.0,0.71,COMPLETE
68,68,0.8297826718444228,2020-11-29 09:09:17.269632,2020-11-29 13:36:47.694290,0 days 04:27:30.424658,0.85,0.59,0.0,0.025311099033902176,23.0,5.0,380.0,1.0,3.0,0.71,COMPLETE
69,69,0.8317369434931507,2020-11-29 09:19:59.879970,2020-11-29 13:46:00.714245,0 days 04:26:00.834275,0.86,0.59,0.0,0.027590656843274323,17.0,5.0,374.0,1.0,3.0,0.72,COMPLETE
70,70,0.8254835035469668,2020-11-29 09:22:11.314941,2020-11-29 11:43:48.743077,0 days 02:21:37.428136,0.87,0.59,0.0,0.15248192510364517,23.0,5.0,378.0,1.0,2.0,0.71,COMPLETE
71,71,0.8321279507093934,2020-11-29 09:24:43.115065,2020-11-29 13:33:12.589647,0 days 04:08:29.474582,0.87,0.49,0.0,0.025207219867508162,19.0,4.0,385.0,1.0,2.0,0.78,COMPLETE
72,72,0.8284170132093933,2020-11-29 09:27:44.780870,2020-11-29 12:45:58.464444,0 days 03:18:13.683574,0.86,0.5,0.0,0.05007084270550974,17.0,4.0,384.0,1.0,2.0,0.77,COMPLETE
73,73,0.8295862126956948,2020-11-29 09:28:27.147944,2020-11-29 15:13:29.796242,0 days 05:45:02.648298,0.95,0.76,1.0,0.04242548353352525,16.0,4.0,397.0,1.0,2.0,0.77,COMPLETE
74,74,0.831541248776908,2020-11-29 09:32:01.956713,2020-11-29 14:05:08.935092,0 days 04:33:06.978379,0.95,0.75,0.0,0.0452411171067305,18.0,4.0,376.0,1.0,2.0,0.77,COMPLETE
75,75,0.831740001223092,2020-11-29 09:44:48.051690,2020-11-29 14:35:50.240940,0 days 04:51:02.189250,0.85,0.76,0.0,0.04699161442022951,17.0,4.0,399.0,1.0,2.0,0.72,COMPLETE
76,76,0.8286096501956948,2020-11-29 09:55:46.005213,2020-11-29 16:00:26.775362,0 days 06:04:40.770149,0.87,0.77,1.0,0.02289521420286782,17.0,4.0,388.0,1.0,4.0,0.77,COMPLETE
77,77,0.8307565588307242,2020-11-29 09:56:59.325191,2020-11-29 16:14:32.016751,0 days 06:17:32.691560,0.88,0.75,3.0,0.04680311161864185,17.0,4.0,399.0,1.0,2.0,0.77,COMPLETE
78,78,0.8291948232632093,2020-11-29 10:19:22.400869,2020-11-29 16:39:11.044279,0 days 06:19:48.643410,0.87,0.73,3.0,0.04891054642487792,17.0,4.0,401.0,1.0,2.0,0.8400000000000001,COMPLETE
79,79,0.8286100324119374,2020-11-29 10:41:22.545755,2020-11-29 17:20:00.625075,0 days 06:38:38.079320,0.87,0.76,2.0,0.023271957168127293,16.0,4.0,396.0,1.0,4.0,0.8500000000000001,COMPLETE
80,80,0.8295862126956948,2020-11-29 10:42:41.473606,2020-11-29 17:19:29.483113,0 days 06:36:48.009507,0.86,0.76,0.0,0.02431401029409631,18.0,4.0,432.0,1.0,4.0,0.8500000000000001,COMPLETE
81,81,0.8289975996819962,2020-11-29 11:39:12.855308,2020-11-29 16:29:17.104431,0 days 04:50:04.249123,0.86,0.75,0.0,0.04654940441759564,17.0,4.0,404.0,2.0,1.0,0.8300000000000001,COMPLETE
82,82,,2020-11-29 11:43:49.881791,,,,,,,,,,,,,RUNNING
83,83,,2020-11-29 11:51:14.932882,,,,,,,,,,,,,RUNNING
84,84,0.8288072559931507,2020-11-29 11:55:28.242376,2020-11-29 15:43:29.667932,0 days 03:48:01.425556,0.86,0.74,0.0,0.025003904275203565,17.0,4.0,265.0,2.0,1.0,0.63,COMPLETE
85,85,,2020-11-29 12:29:59.291137,,,,,,,,,,,,,RUNNING
86,86,,2020-11-29 12:32:05.354976,,,,,,,,,,,,,RUNNING
87,87,,2020-11-29 12:45:59.526192,,,,,,,,,,,,,RUNNING
88,88,,2020-11-29 12:48:02.500223,,,,,,,,,,,,,RUNNING
89,89,,2020-11-29 13:00:44.256815,,,,,,,,,,,,,RUNNING
90,90,,2020-11-29 13:04:38.893482,,,,,,,,,,,,,RUNNING
91,91,,2020-11-29 13:33:13.126291,,,,,,,,,,,,,RUNNING
92,92,,2020-11-29 13:34:54.197179,,,,,,,,,,,,,RUNNING
93,93,,2020-11-29 13:36:18.057863,,,,,,,,,,,,,RUNNING
94,94,,2020-11-29 13:36:47.872033,,,,,,,,,,,,,RUNNING
95,95,,2020-11-29 13:46:01.750229,,,,,,,,,,,,,RUNNING
96,96,,2020-11-29 14:05:09.449634,,,,,,,,,,,,,RUNNING
97,97,,2020-11-29 14:27:56.668964,,,,,,,,,,,,,RUNNING
98,98,,2020-11-29 14:35:50.396227,,,,,,,,,,,,,RUNNING
99,99,,2020-11-29 15:13:31.118572,,,,,,,,,,,,,RUNNING
