,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
58,58,0.8263028873516156,2020-11-24 17:18:43.024555,2020-11-24 22:37:12.352411,0 days 05:18:29.327856000,0.52,0.39,2,0.04416372369115804,23,2,994,1,0,0.7,COMPLETE
59,59,0.8241041728389258,2020-11-24 17:21:31.182199,2020-11-24 22:37:03.560759,0 days 05:15:32.378560000,0.5,0.42000000000000004,2,0.02297496549232508,23,2,959,1,0,0.7,COMPLETE
60,60,0.8250917182841228,2020-11-24 17:30:35.784660,2020-11-24 22:20:32.559050,0 days 04:49:56.774390000,0.51,0.41000000000000003,2,0.014427899212443203,22,3,972,1,0,0.7,COMPLETE
61,61,0.8243528402033606,2020-11-24 17:39:42.246726,2020-11-24 23:42:14.797132,0 days 06:02:32.550406000,0.52,0.39,2,0.014299230408296464,23,2,995,1,0,0.77,COMPLETE
62,62,0.8262993005297041,2020-11-24 17:52:17.362609,2020-11-25 01:43:44.783052,0 days 07:51:27.420443000,0.52,0.41000000000000003,2,0.013670937761051554,22,2,980,0,0,0.78,COMPLETE
63,63,0.8243582307859294,2020-11-24 18:03:00.450588,2020-11-25 01:23:33.252723,0 days 07:20:32.802135000,0.54,0.39,2,0.013917140306891137,22,2,969,0,0,0.7,COMPLETE
64,64,0.8253320631125964,2020-11-24 19:06:28.658707,2020-11-25 01:30:47.847466,0 days 06:24:19.188759000,0.52,0.37,2,0.012874591815238406,21,3,993,0,0,0.77,COMPLETE
65,65,0.8214230147118696,2020-11-24 19:30:16.840771,2020-11-24 21:52:02.050422,0 days 02:21:45.209651000,0.51,0.37,2,0.013195424398395711,18,2,402,2,0,0.77,COMPLETE
66,66,0.8238507171843855,2020-11-24 20:02:41.230074,2020-11-25 00:30:50.252118,0 days 04:28:09.022044000,0.72,0.32,2,0.013267415574794423,18,1,415,0,0,0.77,COMPLETE
67,67,0.8231327521969932,2020-11-24 20:18:05.703940,2020-11-24 22:09:32.788584,0 days 01:51:27.084644000,0.51,0.30000000000000004,2,0.014118706104331346,21,3,408,2,0,0.77,COMPLETE
68,68,0.8228852482766144,2020-11-24 20:50:39.180240,2020-11-24 23:58:31.102261,0 days 03:07:51.922021000,0.51,0.43000000000000005,2,0.012162931307767808,18,1,416,2,0,0.77,COMPLETE
69,69,0.8231321412421625,2020-11-24 21:00:43.285395,2020-11-24 23:24:23.167655,0 days 02:23:39.882260000,0.5,0.30000000000000004,2,0.011002773429320054,18,1,419,2,0,0.71,COMPLETE
70,70,0.8187430551942114,2020-11-24 21:28:40.482448,2020-11-24 22:57:56.585207,0 days 01:29:16.102759000,0.5,0.31,2,0.01559440900881936,18,1,232,2,0,0.77,COMPLETE
71,71,0.8253290375282563,2020-11-24 21:52:02.426106,2020-11-25 02:52:20.716898,0 days 05:00:18.290792000,0.43000000000000005,0.33,2,0.01453564031610817,21,1,617,0,0,0.7,COMPLETE
72,72,0.8272796985761168,2020-11-24 21:56:20.054249,2020-11-25 02:27:24.201542,0 days 04:31:04.147293000,0.73,0.32,1,0.01554650487080543,21,1,435,0,0,0.71,COMPLETE
73,73,0.8258073183592651,2020-11-24 22:06:18.744268,2020-11-25 00:23:00.146450,0 days 02:16:41.402182000,0.73,0.30000000000000004,1,0.025239729865202325,21,1,220,0,0,0.71,COMPLETE
74,74,0.824594985761738,2020-11-24 22:09:33.154417,2020-11-25 00:08:20.504856,0 days 01:58:47.350439000,0.72,0.32,1,0.02568036308076417,22,1,160,0,0,0.71,COMPLETE
75,75,0.8272779650601649,2020-11-24 22:18:57.992467,2020-11-25 05:29:38.410149,0 days 07:10:40.417682000,0.73,0.51,1,0.02610010749096327,22,1,901,0,2,0.71,COMPLETE
